interaction_id,hotel_id,timestamp,channel,language,request_type,complexity,hotel_name,city,country,hotel_type,rooms,hotel_size_category,handled_by,response_time_s,response_speed,hour_of_day,day_of_week_number,day_of_week,month_number,month_name,quarter,time_period,resolved
INT2025_01_0038,hotel_03,22/01/2025 15:50,facebook,EN,service_request,complex,Fjord Spa Hotel,Flåm,Norway,spa,95,Small,Human,330,Slow,15,3,Wednesday,1,January,1,Afternoon,TRUE
INT2025_01_0039,hotel_09,23/01/2025 16:05,email,NO,info,simple,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,AI,13,Fast,16,4,Thursday,1,January,1,Afternoon,TRUE
INT2025_01_0040,hotel_06,23/01/2025 17:20,website_chat,EN,check_in,medium,Arctic Comfort Hotel,Bodø,Norway,city,110,Large,Human,720,Slow,17,4,Thursday,1,January,1,Afternoon,FALSE
INT2025_01_0041,hotel_02,24/01/2025 08:10,instagram,NO,complaint,complex,Oslo City Hotel,Oslo,Norway,city,180,Large,AI,21,Fast,8,5,Friday,1,January,1,Morning,TRUE
INT2025_01_0046,hotel_07,26/01/2025 13:45,instagram,NO,info,medium,Trondheim Central Hotel,Trondheim,Norway,city,140,Large,AI,10,Fast,13,0,Sunday,1,January,1,Afternoon,TRUE
INT2025_01_0047,hotel_05,27/01/2025 14:20,email,EN,booking,complex,Bergen Harbor Hotel,Bergen,Norway,city,160,Large,AI,48,Fast,14,1,Monday,1,January,1,Afternoon,TRUE
INT2025_01_0048,hotel_10,27/01/2025 15:35,facebook,NO,service_request,simple,Kristiansand Beach Hotel,Kristiansand,Norway,resort,150,Large,Human,520,Slow,15,1,Monday,1,January,1,Afternoon,FALSE
INT2025_01_0101,hotel_09,18/01/2025 08:15,facebook,N/A,service_request,complex,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,AI,25,Fast,8,6,Saturday,1,January,1,Morning,TRUE
INT2025_01_0051,hotel_06,29/01/2025 08:05,instagram,NO,info,simple,Arctic Comfort Hotel,Bodø,Norway,city,110,Large,AI,23,Fast,8,3,Wednesday,1,January,1,Morning,TRUE
INT2025_01_0053,hotel_09,30/01/2025 10:35,facebook,NO,technical_issue,complex,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,Human,400,Slow,10,4,Thursday,1,January,1,Morning,TRUE
INT2025_01_0054,hotel_02,30/01/2025 11:50,email,EN,booking,simple,Oslo City Hotel,Oslo,Norway,city,180,Large,AI,18,Fast,11,4,Thursday,1,January,1,Morning,TRUE
INT2025_01_0057,hotel_04,03/01/2025 14:55,facebook,EN,check_in,simple,Northern Lights Resort,Tromsø,Norway,resort,120,Large,AI,42,Fast,14,5,Friday,1,January,1,Afternoon,TRUE
INT2025_01_0058,hotel_07,04/01/2025 15:30,email,NO,info,medium,Trondheim Central Hotel,Trondheim,Norway,city,140,Large,Human,350,Slow,15,6,Saturday,1,January,1,Afternoon,TRUE
INT2025_01_0061,hotel_10,07/01/2025 08:20,instagram,EN,spa_reservation,medium,Kristiansand Beach Hotel,Kristiansand,Norway,resort,150,Large,AI,20,Fast,8,2,Tuesday,1,January,1,Morning,TRUE
INT2025_01_0062,hotel_03,08/01/2025 09:35,email,NO,technical_issue,complex,Fjord Spa Hotel,Flåm,Norway,spa,95,Small,AI,36,Fast,9,3,Wednesday,1,January,1,Morning,TRUE
INT2025_01_0066,hotel_09,12/01/2025 13:55,instagram,EN,booking,simple,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,AI,7,Fast,13,0,Sunday,1,January,1,Afternoon,TRUE
INT2025_01_0067,hotel_02,13/01/2025 14:30,email,NO,service_request,medium,Oslo City Hotel,Oslo,Norway,city,180,Large,AI,58,Fast,14,1,Monday,1,January,1,Afternoon,TRUE
INT2025_01_0068,hotel_08,14/01/2025 15:45,facebook,EN,complaint,complex,Stavanger Seaside Hotel,Stavanger,Norway,resort,130,Large,Human,390,Slow,15,2,Tuesday,1,January,1,Afternoon,TRUE
INT2025_01_0069,hotel_12,15/01/2025 16:20,website_chat,NO,info,simple,Geilo Alpine Resort,Geilo,Norway,resort,170,Large,AI,15,Fast,16,3,Wednesday,1,January,1,Afternoon,TRUE
INT2025_01_0073,hotel_07,19/01/2025 10:45,facebook,EN,check_in,medium,Trondheim Central Hotel,Trondheim,Norway,city,140,Large,Human,410,Slow,10,0,Sunday,1,January,1,Morning,TRUE
INT2025_01_0075,hotel_10,21/01/2025 12:35,instagram,EN,info,simple,Kristiansand Beach Hotel,Kristiansand,Norway,resort,150,Large,Human,320,Slow,12,2,Tuesday,1,January,1,Afternoon,TRUE
INT2025_01_0079,hotel_11,25/01/2025 16:55,website_chat,NO,technical_issue,medium,Ålesun View Hotel,Ålesun,Norway,city,100,Large,AI,17,Fast,16,6,Saturday,1,January,1,Afternoon,TRUE
INT2025_01_0080,hotel_09,26/01/2025 17:30,instagram,EN,booking,complex,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,Human,360,Slow,17,0,Sunday,1,January,1,Afternoon,TRUE
INT2025_01_0081,hotel_02,27/01/2025 08:05,email,NO,info,simple,Oslo City Hotel,Oslo,Norway,city,180,Large,AI,22,Fast,8,1,Monday,1,January,1,Morning,TRUE
INT2025_01_0082,hotel_08,28/01/2025 09:20,facebook,EN,check_in,medium,Stavanger Seaside Hotel,Stavanger,Norway,resort,130,Large,AI,33,Fast,9,2,Tuesday,1,January,1,Morning,TRUE
INT2025_01_0085,hotel_07,31/01/2025 12:25,instagram,EN,complaint,medium,Trondheim Central Hotel,Trondheim,Norway,city,140,Large,Human,600,Slow,12,5,Friday,1,January,1,Afternoon,FALSE
INT2025_01_0086,hotel_05,03/01/2025 13:40,email,NO,booking,complex,Bergen Harbor Hotel,Bergen,Norway,city,160,Large,AI,8,Fast,13,5,Friday,1,January,1,Afternoon,TRUE
INT2025_01_0024,hotel_unknown,15/01/2025 11:45,website_chat,EN,info,simple,,,,,,,AI,14,Fast,11,3,Wednesday,1,January,1,Morning,TRUE
INT2025_01_0034,hotel_unknown,20/01/2025 11:30,website_chat,EN,info,simple,,,,,,,AI,19,Fast,11,1,Monday,1,January,1,Morning,TRUE
INT2025_01_0050,hotel_unknown,28/01/2025 17:25,email,EN,complaint,complex,,,,,,,Human,360,Slow,17,2,Tuesday,1,January,1,Afternoon,TRUE
INT2025_01_0071,hotel_unknown,17/01/2025 08:15,email,EN,technical_issue,complex,,,,,,,AI,19,Fast,8,5,Friday,1,January,1,Morning,TRUE
INT2025_01_0077,hotel_unknown,23/01/2025 14:25,facebook,NO,complaint,complex,,,,,,,AI,49,Fast,14,4,Thursday,1,January,1,Afternoon,TRUE
INT2025_01_0008,hotel_05,06/01/2025 15:40,website_chat,EN,info,simple,Bergen Harbor Hotel,Bergen,Norway,city,160,Large,Human,58.2,Fast,15,1,Monday,1,January,1,Afternoon,TRUE
INT2025_01_0017,hotel_02,12/01/2025 14:25,website_chat,EN,spa_reservation,simple,Oslo City Hotel,Oslo,Norway,city,180,Large,AI,45,Fast,14,0,Sunday,1,January,1,Afternoon,TRUE
INT2025_01_0026,hotel_05,16/01/2025 13:35,website_chat,NO,service_request,simple,Bergen Harbor Hotel,Bergen,Norway,city,160,Large,AI,18,Fast,13,4,Thursday,1,January,1,Afternoon,TRUE
INT2025_01_0036,hotel_05,21/01/2025 13:20,website_chat,EN,technical_issue,simple,Bergen Harbor Hotel,Bergen,Norway,city,160,Large,AI,8,Fast,13,2,Tuesday,1,January,1,Afternoon,TRUE
INT2025_01_0044,hotel_04,25/01/2025 11:55,website_chat,NO,spa_reservation,complex,Northern Lights Resort,Tromsø,Norway,resort,120,Large,AI,17,Fast,11,6,Saturday,1,January,1,Morning,TRUE
INT2025_01_0007,hotel_09,06/01/2025 14:22,website_chat,NO,service_request,simple,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,AI,,,14,1,Monday,1,January,1,Afternoon,FALSE
INT2025_01_0021,hotel_04,14/01/2025 08:00,instagram,NO,service_request,complex,Northern Lights Resort,Tromsø,Norway,resort,120,Large,AI,20,Fast,8,2,Tuesday,1,January,1,Morning,TRUE
INT2025_01_0074,hotel_09,20/01/2025 11:20,website_chat,NO,service_request,complex,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,AI,13,Fast,11,1,Monday,1,January,1,Morning,TRUE
INT2025_01_0043,hotel_12,25/01/2025 10:40,facebook,EN,service_request,medium,Geilo Alpine Resort,Geilo,Norway,resort,170,Large,Human,410,Slow,10,6,Saturday,1,January,1,Morning,TRUE
INT2025_01_0055,hotel_08,31/01/2025 12:25,website_chat,NO,service_request,medium,Stavanger Seaside Hotel,Stavanger,Norway,resort,130,Large,Human,610,Slow,12,5,Friday,1,January,1,Afternoon,FALSE
INT2025_01_0064,hotel_06,10/01/2025 11:25,website_chat,EN,service_request,medium,Arctic Comfort Hotel,Bodø,Norway,city,110,Large,AI,12,Fast,11,5,Friday,1,January,1,Morning,TRUE
INT2025_02_0127,hotel_09,10/02/2025 13:30,email,N/A,service_request,medium,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,AI,52,Fast,13,1,Monday,2,February,1,Afternoon,TRUE
INT2025_01_0088,hotel_10,05/01/2025 15:30,website_chat,NO,technical_issue,medium,Kristiansand Beach Hotel,Kristiansand,Norway,resort,150,Large,Human,390,Slow,15,0,Sunday,1,January,1,Afternoon,TRUE
INT2025_01_0087,hotel_09,04/01/2025 14:55,facebook,EN,spa_reservation,simple,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,AI,52,Fast,14,6,Saturday,1,January,1,Afternoon,TRUE
INT2025_01_0092,hotel_11,09/01/2025 09:35,facebook,EN,booking,complex,Ålesun View Hotel,Ålesun,Norway,city,100,Large,AI,29,Fast,9,4,Thursday,1,January,1,Morning,TRUE
INT2025_01_0093,hotel_09,10/01/2025 10:50,website_chat,NO,service_request,simple,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,Human,450,Slow,10,5,Friday,1,January,1,Morning,FALSE
INT2025_01_0094,hotel_02,11/01/2025 11:25,instagram,EN,complaint,medium,Oslo City Hotel,Oslo,Norway,city,180,Large,AI,13,Fast,11,6,Saturday,1,January,1,Morning,TRUE
INT2025_01_0114,hotel_09,31/01/2025 11:50,email,EN,booking,simple,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,AI,12,Fast,11,5,Friday,1,January,1,Morning,TRUE
INT2025_01_0096,hotel_12,13/01/2025 13:55,facebook,NO,spa_reservation,simple,Geilo Alpine Resort,Geilo,Norway,resort,170,Large,AI,9,Fast,13,1,Monday,1,January,1,Afternoon,TRUE
INT2025_01_0099,hotel_05,16/01/2025 16:20,instagram,EN,check_in,simple,Bergen Harbor Hotel,Bergen,Norway,city,160,Large,AI,18,Fast,16,4,Thursday,1,January,1,Afternoon,TRUE
INT2025_01_0100,hotel_07,17/01/2025 17:05,email,NO,service_request,medium,Trondheim Central Hotel,Trondheim,Norway,city,140,Large,Human,360,Slow,17,5,Friday,1,January,1,Afternoon,TRUE
INT2025_01_0102,hotel_10,19/01/2025 09:30,website_chat,EN,complaint,simple,Kristiansand Beach Hotel,Kristiansand,Norway,resort,150,Large,AI,38,Fast,9,0,Sunday,1,January,1,Morning,TRUE
INT2025_01_0105,hotel_06,22/01/2025 12:35,email,NO,technical_issue,simple,Arctic Comfort Hotel,Bodø,Norway,city,110,Large,Human,290,Medium,12,3,Wednesday,1,January,1,Afternoon,TRUE
INT2025_01_0106,hotel_11,23/01/2025 13:50,facebook,EN,booking,medium,Ålesun View Hotel,Ålesun,Norway,city,100,Large,AI,10,Fast,13,4,Thursday,1,January,1,Afternoon,TRUE
INT2025_01_0138,hotel_09,26/01/2025 15:40,email,EN,booking,simple,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,Human,520,Slow,15,0,Sunday,1,January,1,Afternoon,FALSE
INT2025_01_0109,hotel_08,26/01/2025 16:55,email,EN,service_request,medium,Stavanger Seaside Hotel,Stavanger,Norway,resort,130,Large,AI,19,Fast,16,0,Sunday,1,January,1,Afternoon,TRUE
INT2025_01_0111,hotel_04,28/01/2025 08:05,facebook,EN,info,simple,Northern Lights Resort,Tromsø,Norway,resort,120,Large,AI,17,Fast,8,2,Tuesday,1,January,1,Morning,TRUE
INT2025_01_0112,hotel_07,29/01/2025 09:20,website_chat,NO,spa_reservation,medium,Trondheim Central Hotel,Trondheim,Norway,city,140,Large,AI,26,Fast,9,3,Wednesday,1,January,1,Morning,TRUE
INT2025_01_0152,hotel_09,11/01/2025 09:35,instagram,EN,spa_reservation,complex,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,AI,31,Fast,9,6,Saturday,1,January,1,Morning,TRUE
INT2025_01_0115,hotel_10,03/01/2025 12:25,facebook,NO,check_in,medium,Kristiansand Beach Hotel,Kristiansand,Norway,resort,150,Large,Human,480,Slow,12,5,Friday,1,January,1,Afternoon,FALSE
INT2025_01_0118,hotel_06,06/01/2025 15:30,instagram,EN,complaint,medium,Arctic Comfort Hotel,Bodø,Norway,city,110,Large,Human,360,Slow,15,1,Monday,1,January,1,Afternoon,TRUE
INT2025_01_0120,hotel_09,08/01/2025 17:00,facebook,NO,spa_reservation,simple,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,Human,420,Slow,17,3,Wednesday,1,January,1,Afternoon,TRUE
INT2025_01_0122,hotel_08,10/01/2025 09:35,website_chat,NO,booking,complex,Stavanger Seaside Hotel,Stavanger,Norway,resort,130,Large,AI,33,Fast,9,5,Friday,1,January,1,Morning,TRUE
INT2025_01_0123,hotel_12,11/01/2025 10:50,instagram,EN,check_in,simple,Geilo Alpine Resort,Geilo,Norway,resort,170,Large,Human,510,Slow,10,6,Saturday,1,January,1,Morning,FALSE
INT2025_03_0031,hotel_09,18/03/2025 07:39,facebook,N/A,check_in,complex,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,AI,20,Fast,7,2,Tuesday,3,March,1,Morning,TRUE
INT2025_01_0126,hotel_05,14/01/2025 13:55,website_chat,EN,complaint,simple,Bergen Harbor Hotel,Bergen,Norway,city,160,Large,AI,8,Fast,13,2,Tuesday,1,January,1,Afternoon,TRUE
INT2025_01_0128,hotel_10,16/01/2025 15:45,instagram,EN,spa_reservation,complex,Kristiansand Beach Hotel,Kristiansand,Norway,resort,150,Large,Human,390,Slow,15,4,Thursday,1,January,1,Afternoon,TRUE
INT2025_01_0129,hotel_03,17/01/2025 16:20,email,NO,technical_issue,simple,Fjord Spa Hotel,Flåm,Norway,spa,95,Small,AI,18,Fast,16,5,Friday,1,January,1,Afternoon,TRUE
INT2025_03_0074,hotel_09,08/03/2025 10:33,website_chat,N/A,complaint,complex,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,AI,15,Fast,10,6,Saturday,3,March,1,Morning,TRUE
INT2025_01_0133,hotel_09,21/01/2025 10:45,instagram,EN,service_request,medium,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,Human,450,Slow,10,2,Tuesday,1,January,1,Morning,TRUE
INT2025_01_0134,hotel_02,22/01/2025 11:20,email,NO,complaint,complex,Oslo City Hotel,Oslo,Norway,city,180,Large,AI,16,Fast,11,3,Wednesday,1,January,1,Morning,TRUE
INT2025_01_0135,hotel_08,23/01/2025 12:35,facebook,EN,info,simple,Stavanger Seaside Hotel,Stavanger,Norway,resort,130,Large,Human,280,Medium,12,4,Thursday,1,January,1,Afternoon,TRUE
INT2025_01_0136,hotel_12,24/01/2025 13:50,website_chat,NO,spa_reservation,medium,Geilo Alpine Resort,Geilo,Norway,resort,170,Large,AI,10,Fast,13,5,Friday,1,January,1,Afternoon,TRUE
INT2025_03_0101,hotel_09,22/03/2025 07:27,facebook,N/A,check_in,complex,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,AI,22,Fast,7,6,Saturday,3,March,1,Morning,TRUE
INT2025_01_0141,hotel_10,29/01/2025 08:05,website_chat,NO,service_request,simple,Kristiansand Beach Hotel,Kristiansand,Norway,resort,150,Large,AI,24,Fast,8,3,Wednesday,1,January,1,Morning,TRUE
INT2025_01_0142,hotel_03,30/01/2025 09:20,instagram,EN,complaint,medium,Fjord Spa Hotel,Flåm,Norway,spa,95,Small,AI,37,Fast,9,4,Thursday,1,January,1,Morning,TRUE
INT2025_03_0164,hotel_09,22/03/2025 10:33,website_chat,N/A,technical_issue,complex,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,AI,16,Fast,10,6,Saturday,3,March,1,Morning,TRUE
INT2025_01_0144,hotel_06,03/01/2025 11:50,facebook,NO,spa_reservation,simple,Arctic Comfort Hotel,Bodø,Norway,city,110,Large,AI,15,Fast,11,5,Friday,1,January,1,Morning,TRUE
INT2025_01_0146,hotel_09,05/01/2025 13:40,website_chat,NO,booking,complex,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,AI,11,Fast,13,0,Sunday,1,January,1,Afternoon,TRUE
INT2025_01_0147,hotel_02,06/01/2025 14:55,instagram,EN,check_in,simple,Oslo City Hotel,Oslo,Norway,city,180,Large,AI,50,Fast,14,1,Monday,1,January,1,Afternoon,TRUE
INT2025_01_0150,hotel_04,09/01/2025 17:00,website_chat,EN,complaint,simple,Northern Lights Resort,Tromsø,Norway,resort,120,Large,Human,390,Slow,17,4,Thursday,1,January,1,Afternoon,TRUE
INT2025_01_0153,hotel_05,12/01/2025 10:50,email,NO,technical_issue,simple,Bergen Harbor Hotel,Bergen,Norway,city,160,Large,Human,430,Slow,10,0,Sunday,1,January,1,Morning,TRUE
INT2025_01_0154,hotel_10,13/01/2025 11:25,facebook,EN,booking,medium,Kristiansand Beach Hotel,Kristiansand,Norway,resort,150,Large,AI,14,Fast,11,1,Monday,1,January,1,Morning,TRUE
INT2025_03_0245,hotel_09,01/03/2025 11:53,instagram,N/A,check_out,complex,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,AI,14,Fast,11,6,Saturday,3,March,1,Morning,TRUE
INT2025_01_0157,hotel_06,16/01/2025 14:30,instagram,EN,service_request,medium,Arctic Comfort Hotel,Bodø,Norway,city,110,Large,AI,46,Fast,14,4,Thursday,1,January,1,Afternoon,TRUE
INT2025_01_0158,hotel_11,17/01/2025 15:45,email,NO,complaint,complex,Ålesun View Hotel,Ålesun,Norway,city,100,Large,Human,350,Slow,15,5,Friday,1,January,1,Afternoon,TRUE
INT2025_01_0159,hotel_09,18/01/2025 16:20,facebook,EN,info,simple,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,AI,16,Fast,16,6,Saturday,1,January,1,Afternoon,TRUE
INT2025_01_0160,hotel_02,19/01/2025 17:05,website_chat,NO,spa_reservation,medium,Oslo City Hotel,Oslo,Norway,city,180,Large,Human,500,Slow,17,0,Sunday,1,January,1,Afternoon,TRUE
INT2025_03_0272,hotel_09,14/03/2025 08:48,email,N/A,service_request,complex,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,Human,480,Slow,8,5,Friday,3,March,1,Morning,FALSE
INT2025_01_0162,hotel_12,21/01/2025 09:30,email,EN,booking,simple,Geilo Alpine Resort,Geilo,Norway,resort,170,Large,AI,34,Fast,9,2,Tuesday,1,January,1,Morning,TRUE
INT2025_01_0165,hotel_05,24/01/2025 12:35,website_chat,NO,service_request,simple,Bergen Harbor Hotel,Bergen,Norway,city,160,Large,Human,300,Medium,12,5,Friday,1,January,1,Afternoon,TRUE
INT2025_01_0166,hotel_07,25/01/2025 13:50,instagram,EN,complaint,medium,Trondheim Central Hotel,Trondheim,Norway,city,140,Large,AI,8,Fast,13,6,Saturday,1,January,1,Afternoon,TRUE
INT2025_03_0284,hotel_09,20/03/2025 10:33,website_chat,N/A,info,complex,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,Human,360,Slow,10,4,Thursday,3,March,1,Morning,TRUE
INT2025_01_0168,hotel_03,27/01/2025 15:40,facebook,NO,spa_reservation,simple,Fjord Spa Hotel,Flåm,Norway,spa,95,Small,Human,380,Slow,15,1,Monday,1,January,1,Afternoon,TRUE
INT2025_01_0170,hotel_06,29/01/2025 17:30,website_chat,NO,booking,complex,Arctic Comfort Hotel,Bodø,Norway,city,110,Large,Human,420,Slow,17,3,Wednesday,1,January,1,Afternoon,TRUE
INT2025_01_0090,hotel_unknown,07/01/2025 17:00,email,EN,check_in,simple,,,,,,,Human,480,Slow,17,2,Tuesday,1,January,1,Afternoon,TRUE
INT2025_01_0098,hotel_unknown,15/01/2025 15:45,website_chat,NO,booking,complex,,,,,,,Human,520,Slow,15,3,Wednesday,1,January,1,Afternoon,FALSE
INT2025_01_0104,hotel_unknown,21/01/2025 11:20,instagram,EN,spa_reservation,complex,,,,,,,AI,15,Fast,11,2,Tuesday,1,January,1,Morning,TRUE
INT2025_01_0117,hotel_unknown,05/01/2025 14:55,website_chat,NO,service_request,simple,,,,,,,AI,44,Fast,14,0,Sunday,1,January,1,Afternoon,TRUE
INT2025_01_0097,hotel_04,14/01/2025 14:30,website_chat,EN,technical_issue,medium,Northern Lights Resort,Tromsø,Norway,resort,120,Large,AI,47,Fast,14,2,Tuesday,1,January,1,Afternoon,TRUE
INT2025_01_0127,hotel_09,15/01/2025 14:30,website_chat,NO,info,medium,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,AI,52,Fast,14,3,Wednesday,1,January,1,Afternoon,TRUE
INT2025_01_0103,hotel_03,20/01/2025 10:45,website_chat,NO,info,medium,Fjord Spa Hotel,Flåm,Norway,spa,95,Small,Human,410,Slow,10,1,Monday,1,January,1,Morning,TRUE
INT2025_01_0110,hotel_12,27/01/2025 17:30,website_chat,NO,complaint,complex,Geilo Alpine Resort,Geilo,Norway,resort,170,Large,Human,340,Slow,17,1,Monday,1,January,1,Afternoon,TRUE
INT2025_01_0121,hotel_02,09/01/2025 08:20,website_chat,EN,technical_issue,medium,Oslo City Hotel,Oslo,Norway,city,180,Large,AI,20,Fast,8,4,Thursday,1,January,1,Morning,TRUE
