interaction_id,hotel_id,channel,language,request_type,complexity,hotel_name,city,country,hotel_type,rooms,hotel_size_category,timestamp,day_of_week,hour_of_day,day_of_week_number,time_period,month_number,month_name,quarter
INT2025_01_0053,hotel_09,facebook,NO,technical_issue,complex,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,30/01/2025 10:35,Thursday,10,4,Morning,1,January,1
INT2025_01_0054,hotel_02,email,EN,booking,simple,Oslo City Hotel,Oslo,Norway,city,180,Large,30/01/2025 11:50,Thursday,11,4,Morning,1,January,1
INT2025_01_0245,hotel_09,facebook,N/A,service_request,complex,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,17/01/2025 12:40,Friday,12,5,Afternoon,1,January,1
INT2025_01_0057,hotel_04,facebook,EN,check_in,simple,Northern Lights Resort,Tromsø,Norway,resort,120,Large,03/01/2025 14:55,Friday,14,5,Afternoon,1,January,1
INT2025_01_0058,hotel_07,email,NO,info,medium,Trondheim Central Hotel,Trondheim,Norway,city,140,Large,04/01/2025 15:30,Saturday,15,6,Afternoon,1,January,1
INT2025_01_0061,hotel_10,instagram,EN,spa_reservation,medium,Kristiansand Beach Hotel,Kristiansand,Norway,resort,150,Large,07/01/2025 08:20,Tuesday,8,2,Morning,1,January,1
INT2025_01_0062,hotel_03,email,NO,technical_issue,complex,Fjord Spa Hotel,Flåm,Norway,spa,95,Small,08/01/2025 09:35,Wednesday,9,3,Morning,1,January,1
INT2025_01_0299,hotel_09,website_chat,N/A,check_in,complex,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,13/01/2025 16:15,Monday,16,1,Afternoon,1,January,1
INT2025_01_0066,hotel_09,instagram,EN,booking,simple,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,12/01/2025 13:55,Sunday,13,0,Afternoon,1,January,1
INT2025_01_0067,hotel_02,email,NO,service_request,medium,Oslo City Hotel,Oslo,Norway,city,180,Large,13/01/2025 14:30,Monday,14,1,Afternoon,1,January,1
INT2025_01_0068,hotel_08,facebook,EN,complaint,complex,Stavanger Seaside Hotel,Stavanger,Norway,resort,130,Large,14/01/2025 15:45,Tuesday,15,2,Afternoon,1,January,1
INT2025_01_0069,hotel_12,website_chat,NO,info,simple,Geilo Alpine Resort,Geilo,Norway,resort,170,Large,15/01/2025 16:20,Wednesday,16,3,Afternoon,1,January,1
INT2025_01_0073,hotel_07,facebook,EN,check_in,medium,Trondheim Central Hotel,Trondheim,Norway,city,140,Large,19/01/2025 10:45,Sunday,10,0,Morning,1,January,1
INT2025_01_0075,hotel_10,instagram,EN,info,simple,Kristiansand Beach Hotel,Kristiansand,Norway,resort,150,Large,21/01/2025 12:35,Tuesday,12,2,Afternoon,1,January,1
INT2025_01_0079,hotel_11,website_chat,NO,technical_issue,medium,Ålesund View Hotel,Ålesund,Norway,city,100,Large,25/01/2025 16:55,Saturday,16,6,Afternoon,1,January,1
INT2025_01_0080,hotel_09,instagram,EN,booking,complex,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,26/01/2025 17:30,Sunday,17,0,Afternoon,1,January,1
INT2025_01_0081,hotel_02,email,NO,info,simple,Oslo City Hotel,Oslo,Norway,city,180,Large,27/01/2025 08:05,Monday,8,1,Morning,1,January,1
INT2025_01_0082,hotel_08,facebook,EN,check_in,medium,Stavanger Seaside Hotel,Stavanger,Norway,resort,130,Large,28/01/2025 09:20,Tuesday,9,2,Morning,1,January,1
INT2025_02_0299,hotel_09,website_chat,N/A,technical_issue,complex,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,12/02/2025 15:15,Wednesday,15,3,Afternoon,2,February,1
INT2025_01_0085,hotel_07,instagram,EN,complaint,medium,Trondheim Central Hotel,Trondheim,Norway,city,140,Large,31/01/2025 12:25,Friday,12,5,Afternoon,1,January,1
INT2025_01_0086,hotel_05,email,NO,booking,complex,Bergen Harbor Hotel,Bergen,Norway,city,160,Large,03/01/2025 13:40,Friday,13,5,Afternoon,1,January,1
INT2025_01_0024,hotel_unknown,website_chat,EN,info,simple,,,,,,,15/01/2025 11:45,Wednesday,11,3,Morning,1,January,1
INT2025_01_0034,hotel_unknown,website_chat,EN,info,simple,,,,,,,20/01/2025 11:30,Monday,11,1,Morning,1,January,1
INT2025_01_0050,hotel_unknown,email,EN,complaint,complex,,,,,,,28/01/2025 17:25,Tuesday,17,2,Afternoon,1,January,1
INT2025_01_0071,hotel_unknown,email,EN,technical_issue,complex,,,,,,,17/01/2025 08:15,Friday,8,5,Morning,1,January,1
INT2025_01_0077,hotel_unknown,facebook,NO,complaint,complex,,,,,,,23/01/2025 14:25,Thursday,14,4,Afternoon,1,January,1
INT2025_01_0008,hotel_05,website_chat,EN,info,simple,Bergen Harbor Hotel,Bergen,Norway,city,160,Large,06/01/2025 15:40,Monday,15,1,Afternoon,1,January,1
INT2025_01_0017,hotel_02,website_chat,EN,spa_reservation,simple,Oslo City Hotel,Oslo,Norway,city,180,Large,12/01/2025 14:25,Sunday,14,0,Afternoon,1,January,1
INT2025_01_0026,hotel_05,website_chat,NO,service_request,simple,Bergen Harbor Hotel,Bergen,Norway,city,160,Large,16/01/2025 13:35,Thursday,13,4,Afternoon,1,January,1
INT2025_01_0036,hotel_05,website_chat,EN,technical_issue,simple,Bergen Harbor Hotel,Bergen,Norway,city,160,Large,21/01/2025 13:20,Tuesday,13,2,Afternoon,1,January,1
INT2025_01_0044,hotel_04,website_chat,NO,spa_reservation,complex,Northern Lights Resort,Tromsø,Norway,resort,120,Large,25/01/2025 11:55,Saturday,11,6,Morning,1,January,1
INT2025_01_0007,hotel_09,website_chat,NO,service_request,simple,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,06/01/2025 14:22,Monday,14,1,Afternoon,1,January,1
INT2025_01_0021,hotel_04,instagram,NO,service_request,complex,Northern Lights Resort,Tromsø,Norway,resort,120,Large,14/01/2025 08:00,Tuesday,8,2,Morning,1,January,1
INT2025_01_0074,hotel_09,website_chat,NO,service_request,complex,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,20/01/2025 11:20,Monday,11,1,Morning,1,January,1
INT2025_01_0043,hotel_12,facebook,EN,service_request,medium,Geilo Alpine Resort,Geilo,Norway,resort,170,Large,25/01/2025 10:40,Saturday,10,6,Morning,1,January,1
INT2025_01_0055,hotel_08,website_chat,NO,service_request,medium,Stavanger Seaside Hotel,Stavanger,Norway,resort,130,Large,31/01/2025 12:25,Friday,12,5,Afternoon,1,January,1
INT2025_01_0064,hotel_06,website_chat,EN,service_request,medium,Arctic Comfort Hotel,Bodø,Norway,city,110,Large,10/01/2025 11:25,Friday,11,5,Morning,1,January,1
INT2025_02_0127,hotel_09,email,N/A,service_request,medium,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,10/02/2025 13:30,Monday,13,1,Afternoon,2,February,1
INT2025_01_0088,hotel_10,website_chat,NO,technical_issue,medium,Kristiansand Beach Hotel,Kristiansand,Norway,resort,150,Large,05/01/2025 15:30,Sunday,15,0,Afternoon,1,January,1
INT2025_01_0087,hotel_09,facebook,EN,spa_reservation,simple,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,04/01/2025 14:55,Saturday,14,6,Afternoon,1,January,1
INT2025_01_0092,hotel_11,facebook,EN,booking,complex,Ålesund View Hotel,Ålesund,Norway,city,100,Large,09/01/2025 09:35,Thursday,9,4,Morning,1,January,1
INT2025_01_0093,hotel_09,website_chat,NO,service_request,simple,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,10/01/2025 10:50,Friday,10,5,Morning,1,January,1
INT2025_01_0094,hotel_02,instagram,EN,complaint,medium,Oslo City Hotel,Oslo,Norway,city,180,Large,11/01/2025 11:25,Saturday,11,6,Morning,1,January,1
INT2025_01_0114,hotel_09,email,EN,booking,simple,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,31/01/2025 11:50,Friday,11,5,Morning,1,January,1
INT2025_01_0096,hotel_12,facebook,NO,spa_reservation,simple,Geilo Alpine Resort,Geilo,Norway,resort,170,Large,13/01/2025 13:55,Monday,13,1,Afternoon,1,January,1
INT2025_01_0099,hotel_05,instagram,EN,check_in,simple,Bergen Harbor Hotel,Bergen,Norway,city,160,Large,16/01/2025 16:20,Thursday,16,4,Afternoon,1,January,1
INT2025_01_0100,hotel_07,email,NO,service_request,medium,Trondheim Central Hotel,Trondheim,Norway,city,140,Large,17/01/2025 17:05,Friday,17,5,Afternoon,1,January,1
INT2025_01_0102,hotel_10,website_chat,EN,complaint,simple,Kristiansand Beach Hotel,Kristiansand,Norway,resort,150,Large,19/01/2025 09:30,Sunday,9,0,Morning,1,January,1
INT2025_01_0105,hotel_06,email,NO,technical_issue,simple,Arctic Comfort Hotel,Bodø,Norway,city,110,Large,22/01/2025 12:35,Wednesday,12,3,Afternoon,1,January,1
INT2025_01_0106,hotel_11,facebook,EN,booking,medium,Ålesund View Hotel,Ålesund,Norway,city,100,Large,23/01/2025 13:50,Thursday,13,4,Afternoon,1,January,1
INT2025_01_0138,hotel_09,email,EN,booking,simple,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,26/01/2025 15:40,Sunday,15,0,Afternoon,1,January,1
INT2025_01_0109,hotel_08,email,EN,service_request,medium,Stavanger Seaside Hotel,Stavanger,Norway,resort,130,Large,26/01/2025 16:55,Sunday,16,0,Afternoon,1,January,1
INT2025_01_0111,hotel_04,facebook,EN,info,simple,Northern Lights Resort,Tromsø,Norway,resort,120,Large,28/01/2025 08:05,Tuesday,8,2,Morning,1,January,1
INT2025_01_0112,hotel_07,website_chat,NO,spa_reservation,medium,Trondheim Central Hotel,Trondheim,Norway,city,140,Large,29/01/2025 09:20,Wednesday,9,3,Morning,1,January,1
INT2025_01_0152,hotel_09,instagram,EN,spa_reservation,complex,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,11/01/2025 09:35,Saturday,9,6,Morning,1,January,1
INT2025_01_0115,hotel_10,facebook,NO,check_in,medium,Kristiansand Beach Hotel,Kristiansand,Norway,resort,150,Large,03/01/2025 12:25,Friday,12,5,Afternoon,1,January,1
INT2025_01_0118,hotel_06,instagram,EN,complaint,medium,Arctic Comfort Hotel,Bodø,Norway,city,110,Large,06/01/2025 15:30,Monday,15,1,Afternoon,1,January,1
INT2025_01_0120,hotel_09,facebook,NO,spa_reservation,simple,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,08/01/2025 17:00,Wednesday,17,3,Afternoon,1,January,1
INT2025_01_0122,hotel_08,website_chat,NO,booking,complex,Stavanger Seaside Hotel,Stavanger,Norway,resort,130,Large,10/01/2025 09:35,Friday,9,5,Morning,1,January,1
INT2025_01_0123,hotel_12,instagram,EN,check_in,simple,Geilo Alpine Resort,Geilo,Norway,resort,170,Large,11/01/2025 10:50,Saturday,10,6,Morning,1,January,1
INT2025_03_0031,hotel_09,facebook,N/A,check_in,complex,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,18/03/2025 07:39,Tuesday,7,2,Morning,3,March,1
INT2025_01_0126,hotel_05,website_chat,EN,complaint,simple,Bergen Harbor Hotel,Bergen,Norway,city,160,Large,14/01/2025 13:55,Tuesday,13,2,Afternoon,1,January,1
INT2025_01_0128,hotel_10,instagram,EN,spa_reservation,complex,Kristiansand Beach Hotel,Kristiansand,Norway,resort,150,Large,16/01/2025 15:45,Thursday,15,4,Afternoon,1,January,1
INT2025_01_0129,hotel_03,email,NO,technical_issue,simple,Fjord Spa Hotel,Flåm,Norway,spa,95,Small,17/01/2025 16:20,Friday,16,5,Afternoon,1,January,1
INT2025_03_0074,hotel_09,website_chat,N/A,complaint,complex,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,08/03/2025 10:33,Saturday,10,6,Morning,3,March,1
INT2025_01_0133,hotel_09,instagram,EN,service_request,medium,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,21/01/2025 10:45,Tuesday,10,2,Morning,1,January,1
INT2025_01_0134,hotel_02,email,NO,complaint,complex,Oslo City Hotel,Oslo,Norway,city,180,Large,22/01/2025 11:20,Wednesday,11,3,Morning,1,January,1
INT2025_01_0135,hotel_08,facebook,EN,info,simple,Stavanger Seaside Hotel,Stavanger,Norway,resort,130,Large,23/01/2025 12:35,Thursday,12,4,Afternoon,1,January,1
INT2025_01_0136,hotel_12,website_chat,NO,spa_reservation,medium,Geilo Alpine Resort,Geilo,Norway,resort,170,Large,24/01/2025 13:50,Friday,13,5,Afternoon,1,January,1
INT2025_03_0101,hotel_09,facebook,N/A,check_in,complex,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,22/03/2025 07:27,Saturday,7,6,Morning,3,March,1
INT2025_01_0141,hotel_10,website_chat,NO,service_request,simple,Kristiansand Beach Hotel,Kristiansand,Norway,resort,150,Large,29/01/2025 08:05,Wednesday,8,3,Morning,1,January,1
INT2025_01_0142,hotel_03,instagram,EN,complaint,medium,Fjord Spa Hotel,Flåm,Norway,spa,95,Small,30/01/2025 09:20,Thursday,9,4,Morning,1,January,1
INT2025_03_0164,hotel_09,website_chat,N/A,technical_issue,complex,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,22/03/2025 10:33,Saturday,10,6,Morning,3,March,1
INT2025_01_0144,hotel_06,facebook,NO,spa_reservation,simple,Arctic Comfort Hotel,Bodø,Norway,city,110,Large,03/01/2025 11:50,Friday,11,5,Morning,1,January,1
INT2025_01_0146,hotel_09,website_chat,NO,booking,complex,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,05/01/2025 13:40,Sunday,13,0,Afternoon,1,January,1
INT2025_01_0147,hotel_02,instagram,EN,check_in,simple,Oslo City Hotel,Oslo,Norway,city,180,Large,06/01/2025 14:55,Monday,14,1,Afternoon,1,January,1
INT2025_01_0150,hotel_04,website_chat,EN,complaint,simple,Northern Lights Resort,Tromsø,Norway,resort,120,Large,09/01/2025 17:00,Thursday,17,4,Afternoon,1,January,1
INT2025_01_0153,hotel_05,email,NO,technical_issue,simple,Bergen Harbor Hotel,Bergen,Norway,city,160,Large,12/01/2025 10:50,Sunday,10,0,Morning,1,January,1
INT2025_01_0154,hotel_10,facebook,EN,booking,medium,Kristiansand Beach Hotel,Kristiansand,Norway,resort,150,Large,13/01/2025 11:25,Monday,11,1,Morning,1,January,1
INT2025_03_0245,hotel_09,instagram,N/A,check_out,complex,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,01/03/2025 11:53,Saturday,11,6,Morning,3,March,1
INT2025_01_0157,hotel_06,instagram,EN,service_request,medium,Arctic Comfort Hotel,Bodø,Norway,city,110,Large,16/01/2025 14:30,Thursday,14,4,Afternoon,1,January,1
INT2025_01_0158,hotel_11,email,NO,complaint,complex,Ålesund View Hotel,Ålesund,Norway,city,100,Large,17/01/2025 15:45,Friday,15,5,Afternoon,1,January,1
INT2025_01_0159,hotel_09,facebook,EN,info,simple,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,18/01/2025 16:20,Saturday,16,6,Afternoon,1,January,1
INT2025_01_0160,hotel_02,website_chat,NO,spa_reservation,medium,Oslo City Hotel,Oslo,Norway,city,180,Large,19/01/2025 17:05,Sunday,17,0,Afternoon,1,January,1
INT2025_03_0272,hotel_09,email,N/A,service_request,complex,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,14/03/2025 08:48,Friday,8,5,Morning,3,March,1
INT2025_01_0162,hotel_12,email,EN,booking,simple,Geilo Alpine Resort,Geilo,Norway,resort,170,Large,21/01/2025 09:30,Tuesday,9,2,Morning,1,January,1
INT2025_01_0165,hotel_05,website_chat,NO,service_request,simple,Bergen Harbor Hotel,Bergen,Norway,city,160,Large,24/01/2025 12:35,Friday,12,5,Afternoon,1,January,1
INT2025_01_0166,hotel_07,instagram,EN,complaint,medium,Trondheim Central Hotel,Trondheim,Norway,city,140,Large,25/01/2025 13:50,Saturday,13,6,Afternoon,1,January,1
INT2025_03_0284,hotel_09,website_chat,N/A,info,complex,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,20/03/2025 10:33,Thursday,10,4,Morning,3,March,1
INT2025_01_0168,hotel_03,facebook,NO,spa_reservation,simple,Fjord Spa Hotel,Flåm,Norway,spa,95,Small,27/01/2025 15:40,Monday,15,1,Afternoon,1,January,1
INT2025_01_0170,hotel_06,website_chat,NO,booking,complex,Arctic Comfort Hotel,Bodø,Norway,city,110,Large,29/01/2025 17:30,Wednesday,17,3,Afternoon,1,January,1
INT2025_01_0090,hotel_unknown,email,EN,check_in,simple,,,,,,,07/01/2025 17:00,Tuesday,17,2,Afternoon,1,January,1
INT2025_01_0098,hotel_unknown,website_chat,NO,booking,complex,,,,,,,15/01/2025 15:45,Wednesday,15,3,Afternoon,1,January,1
INT2025_01_0104,hotel_unknown,instagram,EN,spa_reservation,complex,,,,,,,21/01/2025 11:20,Tuesday,11,2,Morning,1,January,1
INT2025_01_0117,hotel_unknown,website_chat,NO,service_request,simple,,,,,,,05/01/2025 14:55,Sunday,14,0,Afternoon,1,January,1
INT2025_01_0097,hotel_04,website_chat,EN,technical_issue,medium,Northern Lights Resort,Tromsø,Norway,resort,120,Large,14/01/2025 14:30,Tuesday,14,2,Afternoon,1,January,1
INT2025_01_0127,hotel_09,website_chat,NO,info,medium,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,15/01/2025 14:30,Wednesday,14,3,Afternoon,1,January,1
INT2025_01_0103,hotel_03,website_chat,NO,info,medium,Fjord Spa Hotel,Flåm,Norway,spa,95,Small,20/01/2025 10:45,Monday,10,1,Morning,1,January,1
INT2025_01_0110,hotel_12,website_chat,NO,complaint,complex,Geilo Alpine Resort,Geilo,Norway,resort,170,Large,27/01/2025 17:30,Monday,17,1,Afternoon,1,January,1
INT2025_01_0121,hotel_02,website_chat,EN,technical_issue,medium,Oslo City Hotel,Oslo,Norway,city,180,Large,09/01/2025 08:20,Thursday,8,4,Morning,1,January,1
INT2025_01_0139,hotel_05,website_chat,NO,check_in,medium,Bergen Harbor Hotel,Bergen,Norway,city,160,Large,27/01/2025 16:55,Monday,16,1,Afternoon,1,January,1
INT2025_01_0145,hotel_11,website_chat,EN,technical_issue,medium,Ålesund View Hotel,Ålesund,Norway,city,100,Large,04/01/2025 12:25,Saturday,12,6,Afternoon,1,January,1
INT2025_01_0108,hotel_02,instagram,NO,service_request,simple,Oslo City Hotel,Oslo,Norway,city,180,Large,25/01/2025 15:40,Saturday,15,6,Afternoon,1,January,1
INT2025_01_0164,hotel_09,facebook,EN,service_request,complex,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,23/01/2025 11:20,Thursday,11,4,Morning,1,January,1
INT2025_01_0140,hotel_07,facebook,EN,service_request,complex,Trondheim Central Hotel,Trondheim,Norway,city,140,Large,28/01/2025 17:30,Tuesday,17,2,Afternoon,1,January,1
INT2025_01_0124,hotel_unknown,email,NO,service_request,medium,,,,,,,12/01/2025 11:25,Sunday,11,0,Morning,1,January,1
INT2025_01_0091,hotel_06,website_chat,NO,service_request,medium,Arctic Comfort Hotel,Bodø,Norway,city,110,Large,08/01/2025 08:20,Wednesday,8,3,Morning,1,January,1
INT2025_01_0116,hotel_03,website_chat,EN,service_request,complex,Fjord Spa Hotel,Flåm,Norway,spa,95,Small,04/01/2025 13:40,Saturday,13,6,Afternoon,1,January,1
INT2025_01_0132,hotel_11,website_chat,NO,service_request,simple,Ålesund View Hotel,Ålesund,Norway,city,100,Large,20/01/2025 09:30,Monday,9,1,Morning,1,January,1
INT2025_01_0178,hotel_09,facebook,EN,booking,medium,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,08/01/2025 15:30,Wednesday,15,3,Afternoon,1,January,1
INT2025_01_0174,hotel_08,website_chat,EN,complaint,simple,Stavanger Seaside Hotel,Stavanger,Norway,resort,130,Large,04/01/2025 11:50,Saturday,11,6,Morning,1,January,1
INT2025_01_0176,hotel_04,instagram,EN,spa_reservation,complex,Northern Lights Resort,Tromsø,Norway,resort,120,Large,06/01/2025 13:40,Monday,13,1,Afternoon,1,January,1
INT2025_01_0177,hotel_07,email,NO,technical_issue,simple,Trondheim Central Hotel,Trondheim,Norway,city,140,Large,07/01/2025 14:55,Tuesday,14,2,Afternoon,1,January,1
INT2025_01_0172,hotel_09,email,NO,service_request,medium,Lillehammer Mountain Lodge,Lillehammer,Norway,resort,85,Small,31/01/2025 09:20,Friday,9,5,Morning,1,January,1
INT2025_01_0181,hotel_03,instagram,EN,service_request,medium,Fjord Spa Hotel,Flåm,Norway,spa,95,Small,11/01/2025 08:20,Saturday,8,6,Morning,1,January,1
INT2025_01_0183,hotel_06,facebook,EN,info,simple,Arctic Comfort Hotel,Bodø,Norway,city,110,Large,13/01/2025 10:50,Monday,10,1,Morning,1,January,1
INT2025_01_0184,hotel_11,website_chat,NO,spa_reservation,medium,Ålesund View Hotel,Ålesund,Norway,city,100,Large,14/01/2025 11:25,Tuesday,11,2,Morning,1,January,1
INT2025_01_0188,hotel_12,facebook,EN,service_request,complex,Geilo Alpine Resort,Geilo,Norway,resort,170,Large,18/01/2025 15:45,Saturday,15,6,Afternoon,1,January,1
