"interaction_id","timestamp","hotel_id","channel","language","request_type","complexity","hotel_name","city","country","hotel_type","rooms"
"INT2025_01_0037","2025-01-22 14:35:00","hotel_11","instagram","NO","booking","medium","Ã…lesund View Hotel","Ã…lesund","Norway","city",100
"INT2025_01_0038","2025-01-22 15:50:00","hotel_03","facebook","EN","service_request","complex","Fjord Spa Hotel","FlÃ¥m","Norway","spa",95
"INT2025_01_0039","2025-01-23 16:05:00","hotel_09","email","NO","info","simple","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0040","2025-01-23 17:20:00","hotel_06","website_chat","EN","check_in","medium","Arctic Comfort Hotel","BodÃ¸","Norway","city",110
"INT2025_01_0041","2025-01-24 08:10:00","hotel_02","instagram","NO","complaint","complex","Oslo City Hotel","Oslo","Norway","city",180
"INT2025_01_0046","2025-01-26 13:45:00","hotel_07","instagram","NO","info","medium","Trondheim Central Hotel","Trondheim","Norway","city",140
"INT2025_01_0047","2025-01-27 14:20:00","hotel_05","email","EN","booking","complex","Bergen Harbor Hotel","Bergen","Norway","city",160
"INT2025_01_0048","2025-01-27 15:35:00","hotel_10","facebook","NO","service_request","simple","Kristiansand Beach Hotel","Kristiansand","Norway","resort",150
"INT2025_01_0101","2025-01-18 08:15:00","hotel_09","facebook","N/A","service_request","complex","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0051","2025-01-29 08:05:00","hotel_06","instagram","NO","info","simple","Arctic Comfort Hotel","BodÃ¸","Norway","city",110
"INT2025_01_0053","2025-01-30 10:35:00","hotel_09","facebook","NO","technical_issue","complex","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0054","2025-01-30 11:50:00","hotel_02","email","EN","booking","simple","Oslo City Hotel","Oslo","Norway","city",180
"INT2025_01_0245","2025-01-17 12:40:00","hotel_09","facebook","N/A","service_request","complex","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0057","2025-01-03 14:55:00","hotel_04","facebook","EN","check_in","simple","Northern Lights Resort","TromsÃ¸","Norway","resort",120
"INT2025_01_0058","2025-01-04 15:30:00","hotel_07","email","NO","info","medium","Trondheim Central Hotel","Trondheim","Norway","city",140
"INT2025_01_0061","2025-01-07 08:20:00","hotel_10","instagram","EN","spa_reservation","medium","Kristiansand Beach Hotel","Kristiansand","Norway","resort",150
"INT2025_01_0062","2025-01-08 09:35:00","hotel_03","email","NO","technical_issue","complex","Fjord Spa Hotel","FlÃ¥m","Norway","spa",95
"INT2025_01_0299","2025-01-13 16:15:00","hotel_09","website_chat","N/A","check_in","complex","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0066","2025-01-12 13:55:00","hotel_09","instagram","EN","booking","simple","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0067","2025-01-13 14:30:00","hotel_02","email","NO","service_request","medium","Oslo City Hotel","Oslo","Norway","city",180
"INT2025_01_0068","2025-01-14 15:45:00","hotel_08","facebook","EN","complaint","complex","Stavanger Seaside Hotel","Stavanger","Norway","resort",130
"INT2025_01_0069","2025-01-15 16:20:00","hotel_12","website_chat","NO","info","simple","Geilo Alpine Resort","Geilo","Norway","resort",170
"INT2025_01_0073","2025-01-19 10:45:00","hotel_07","facebook","EN","check_in","medium","Trondheim Central Hotel","Trondheim","Norway","city",140
"INT2025_01_0075","2025-01-21 12:35:00","hotel_10","instagram","EN","info","simple","Kristiansand Beach Hotel","Kristiansand","Norway","resort",150
"INT2025_01_0079","2025-01-25 16:55:00","hotel_11","website_chat","NO","technical_issue","medium","Ã…lesund View Hotel","Ã…lesund","Norway","city",100
"INT2025_01_0080","2025-01-26 17:30:00","hotel_09","instagram","EN","booking","complex","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0081","2025-01-27 08:05:00","hotel_02","email","NO","info","simple","Oslo City Hotel","Oslo","Norway","city",180
"INT2025_01_0082","2025-01-28 09:20:00","hotel_08","facebook","EN","check_in","medium","Stavanger Seaside Hotel","Stavanger","Norway","resort",130
"INT2025_02_0299","2025-02-12 15:15:00","hotel_09","website_chat","N/A","technical_issue","complex","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0085","2025-01-31 12:25:00","hotel_07","instagram","EN","complaint","medium","Trondheim Central Hotel","Trondheim","Norway","city",140
"INT2025_01_0086","2025-01-03 13:40:00","hotel_05","email","NO","booking","complex","Bergen Harbor Hotel","Bergen","Norway","city",160
"INT2025_01_0024","2025-01-15 11:45:00","hotel_unknown","website_chat","EN","info","simple","","","","",""
"INT2025_01_0034","2025-01-20 11:30:00","hotel_unknown","website_chat","EN","info","simple","","","","",""
"INT2025_01_0050","2025-01-28 17:25:00","hotel_unknown","email","EN","complaint","complex","","","","",""
"INT2025_01_0071","2025-01-17 08:15:00","hotel_unknown","email","EN","technical_issue","complex","","","","",""
"INT2025_01_0077","2025-01-23 14:25:00","hotel_unknown","facebook","NO","complaint","complex","","","","",""
"INT2025_01_0008","2025-01-06 15:40:00","hotel_05","website_chat","EN","info","simple","Bergen Harbor Hotel","Bergen","Norway","city",160
"INT2025_01_0017","2025-01-12 14:25:00","hotel_02","website_chat","EN","spa_reservation","simple","Oslo City Hotel","Oslo","Norway","city",180
"INT2025_01_0026","2025-01-16 13:35:00","hotel_05","website_chat","NO","service_request","simple","Bergen Harbor Hotel","Bergen","Norway","city",160
"INT2025_01_0036","2025-01-21 13:20:00","hotel_05","website_chat","EN","technical_issue","simple","Bergen Harbor Hotel","Bergen","Norway","city",160
"INT2025_01_0044","2025-01-25 11:55:00","hotel_04","website_chat","NO","spa_reservation","complex","Northern Lights Resort","TromsÃ¸","Norway","resort",120
"INT2025_01_0007","2025-01-06 14:22:00","hotel_09","website_chat","NO","service_request","simple","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0021","2025-01-14 08:00:00","hotel_04","instagram","NO","service_request","complex","Northern Lights Resort","TromsÃ¸","Norway","resort",120
"INT2025_01_0074","2025-01-20 11:20:00","hotel_09","website_chat","NO","service_request","complex","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0043","2025-01-25 10:40:00","hotel_12","facebook","EN","service_request","medium","Geilo Alpine Resort","Geilo","Norway","resort",170
"INT2025_01_0055","2025-01-31 12:25:00","hotel_08","website_chat","NO","service_request","medium","Stavanger Seaside Hotel","Stavanger","Norway","resort",130
"INT2025_01_0064","2025-01-10 11:25:00","hotel_06","website_chat","EN","service_request","medium","Arctic Comfort Hotel","BodÃ¸","Norway","city",110
"INT2025_02_0127","2025-02-10 13:30:00","hotel_09","email","N/A","service_request","medium","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0088","2025-01-05 15:30:00","hotel_10","website_chat","NO","technical_issue","medium","Kristiansand Beach Hotel","Kristiansand","Norway","resort",150
"INT2025_01_0087","2025-01-04 14:55:00","hotel_09","facebook","EN","spa_reservation","simple","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0092","2025-01-09 09:35:00","hotel_11","facebook","EN","booking","complex","Ã…lesund View Hotel","Ã…lesund","Norway","city",100
"INT2025_01_0093","2025-01-10 10:50:00","hotel_09","website_chat","NO","service_request","simple","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0094","2025-01-11 11:25:00","hotel_02","instagram","EN","complaint","medium","Oslo City Hotel","Oslo","Norway","city",180
"INT2025_01_0114","2025-01-31 11:50:00","hotel_09","email","EN","booking","simple","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0096","2025-01-13 13:55:00","hotel_12","facebook","NO","spa_reservation","simple","Geilo Alpine Resort","Geilo","Norway","resort",170
"INT2025_01_0099","2025-01-16 16:20:00","hotel_05","instagram","EN","check_in","simple","Bergen Harbor Hotel","Bergen","Norway","city",160
"INT2025_01_0100","2025-01-17 17:05:00","hotel_07","email","NO","service_request","medium","Trondheim Central Hotel","Trondheim","Norway","city",140
"INT2025_01_0102","2025-01-19 09:30:00","hotel_10","website_chat","EN","complaint","simple","Kristiansand Beach Hotel","Kristiansand","Norway","resort",150
"INT2025_01_0105","2025-01-22 12:35:00","hotel_06","email","NO","technical_issue","simple","Arctic Comfort Hotel","BodÃ¸","Norway","city",110
"INT2025_01_0106","2025-01-23 13:50:00","hotel_11","facebook","EN","booking","medium","Ã…lesund View Hotel","Ã…lesund","Norway","city",100
"INT2025_01_0138","2025-01-26 15:40:00","hotel_09","email","EN","booking","simple","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0109","2025-01-26 16:55:00","hotel_08","email","EN","service_request","medium","Stavanger Seaside Hotel","Stavanger","Norway","resort",130
"INT2025_01_0111","2025-01-28 08:05:00","hotel_04","facebook","EN","info","simple","Northern Lights Resort","TromsÃ¸","Norway","resort",120
"INT2025_01_0112","2025-01-29 09:20:00","hotel_07","website_chat","NO","spa_reservation","medium","Trondheim Central Hotel","Trondheim","Norway","city",140
"INT2025_01_0152","2025-01-11 09:35:00","hotel_09","instagram","EN","spa_reservation","complex","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0115","2025-01-03 12:25:00","hotel_10","facebook","NO","check_in","medium","Kristiansand Beach Hotel","Kristiansand","Norway","resort",150
"INT2025_01_0118","2025-01-06 15:30:00","hotel_06","instagram","EN","complaint","medium","Arctic Comfort Hotel","BodÃ¸","Norway","city",110
"INT2025_01_0120","2025-01-08 17:00:00","hotel_09","facebook","NO","spa_reservation","simple","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0122","2025-01-10 09:35:00","hotel_08","website_chat","NO","booking","complex","Stavanger Seaside Hotel","Stavanger","Norway","resort",130
"INT2025_01_0123","2025-01-11 10:50:00","hotel_12","instagram","EN","check_in","simple","Geilo Alpine Resort","Geilo","Norway","resort",170
"INT2025_03_0031","2025-03-18 07:39:00","hotel_09","facebook","N/A","check_in","complex","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0126","2025-01-14 13:55:00","hotel_05","website_chat","EN","complaint","simple","Bergen Harbor Hotel","Bergen","Norway","city",160
"INT2025_01_0128","2025-01-16 15:45:00","hotel_10","instagram","EN","spa_reservation","complex","Kristiansand Beach Hotel","Kristiansand","Norway","resort",150
"INT2025_01_0129","2025-01-17 16:20:00","hotel_03","email","NO","technical_issue","simple","Fjord Spa Hotel","FlÃ¥m","Norway","spa",95
"INT2025_03_0074","2025-03-08 10:33:00","hotel_09","website_chat","N/A","complaint","complex","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0133","2025-01-21 10:45:00","hotel_09","instagram","EN","service_request","medium","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0134","2025-01-22 11:20:00","hotel_02","email","NO","complaint","complex","Oslo City Hotel","Oslo","Norway","city",180
"INT2025_01_0135","2025-01-23 12:35:00","hotel_08","facebook","EN","info","simple","Stavanger Seaside Hotel","Stavanger","Norway","resort",130
"INT2025_01_0136","2025-01-24 13:50:00","hotel_12","website_chat","NO","spa_reservation","medium","Geilo Alpine Resort","Geilo","Norway","resort",170
"INT2025_03_0101","2025-03-22 07:27:00","hotel_09","facebook","N/A","check_in","complex","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0141","2025-01-29 08:05:00","hotel_10","website_chat","NO","service_request","simple","Kristiansand Beach Hotel","Kristiansand","Norway","resort",150
"INT2025_01_0142","2025-01-30 09:20:00","hotel_03","instagram","EN","complaint","medium","Fjord Spa Hotel","FlÃ¥m","Norway","spa",95
"INT2025_03_0164","2025-03-22 10:33:00","hotel_09","website_chat","N/A","technical_issue","complex","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0144","2025-01-03 11:50:00","hotel_06","facebook","NO","spa_reservation","simple","Arctic Comfort Hotel","BodÃ¸","Norway","city",110
"INT2025_01_0146","2025-01-05 13:40:00","hotel_09","website_chat","NO","booking","complex","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0147","2025-01-06 14:55:00","hotel_02","instagram","EN","check_in","simple","Oslo City Hotel","Oslo","Norway","city",180
"INT2025_01_0150","2025-01-09 17:00:00","hotel_04","website_chat","EN","complaint","simple","Northern Lights Resort","TromsÃ¸","Norway","resort",120
"INT2025_01_0153","2025-01-12 10:50:00","hotel_05","email","NO","technical_issue","simple","Bergen Harbor Hotel","Bergen","Norway","city",160
"INT2025_01_0154","2025-01-13 11:25:00","hotel_10","facebook","EN","booking","medium","Kristiansand Beach Hotel","Kristiansand","Norway","resort",150
"INT2025_03_0245","2025-03-01 11:53:00","hotel_09","instagram","N/A","check_out","complex","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0157","2025-01-16 14:30:00","hotel_06","instagram","EN","service_request","medium","Arctic Comfort Hotel","BodÃ¸","Norway","city",110
"INT2025_01_0158","2025-01-17 15:45:00","hotel_11","email","NO","complaint","complex","Ã…lesund View Hotel","Ã…lesund","Norway","city",100
"INT2025_01_0159","2025-01-18 16:20:00","hotel_09","facebook","EN","info","simple","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0160","2025-01-19 17:05:00","hotel_02","website_chat","NO","spa_reservation","medium","Oslo City Hotel","Oslo","Norway","city",180
"INT2025_03_0272","2025-03-14 08:48:00","hotel_09","email","N/A","service_request","complex","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0162","2025-01-21 09:30:00","hotel_12","email","EN","booking","simple","Geilo Alpine Resort","Geilo","Norway","resort",170
"INT2025_01_0165","2025-01-24 12:35:00","hotel_05","website_chat","NO","service_request","simple","Bergen Harbor Hotel","Bergen","Norway","city",160
"INT2025_01_0166","2025-01-25 13:50:00","hotel_07","instagram","EN","complaint","medium","Trondheim Central Hotel","Trondheim","Norway","city",140
"INT2025_03_0284","2025-03-20 10:33:00","hotel_09","website_chat","N/A","info","complex","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0168","2025-01-27 15:40:00","hotel_03","facebook","NO","spa_reservation","simple","Fjord Spa Hotel","FlÃ¥m","Norway","spa",95
"INT2025_01_0170","2025-01-29 17:30:00","hotel_06","website_chat","NO","booking","complex","Arctic Comfort Hotel","BodÃ¸","Norway","city",110
"INT2025_01_0090","2025-01-07 17:00:00","hotel_unknown","email","EN","check_in","simple","","","","",""
"INT2025_01_0098","2025-01-15 15:45:00","hotel_unknown","website_chat","NO","booking","complex","","","","",""
"INT2025_01_0104","2025-01-21 11:20:00","hotel_unknown","instagram","EN","spa_reservation","complex","","","","",""
"INT2025_01_0117","2025-01-05 14:55:00","hotel_unknown","website_chat","NO","service_request","simple","","","","",""
"INT2025_01_0097","2025-01-14 14:30:00","hotel_04","website_chat","EN","technical_issue","medium","Northern Lights Resort","TromsÃ¸","Norway","resort",120
"INT2025_01_0127","2025-01-15 14:30:00","hotel_09","website_chat","NO","info","medium","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0103","2025-01-20 10:45:00","hotel_03","website_chat","NO","info","medium","Fjord Spa Hotel","FlÃ¥m","Norway","spa",95
"INT2025_01_0110","2025-01-27 17:30:00","hotel_12","website_chat","NO","complaint","complex","Geilo Alpine Resort","Geilo","Norway","resort",170
"INT2025_01_0121","2025-01-09 08:20:00","hotel_02","website_chat","EN","technical_issue","medium","Oslo City Hotel","Oslo","Norway","city",180
"INT2025_01_0139","2025-01-27 16:55:00","hotel_05","website_chat","NO","check_in","medium","Bergen Harbor Hotel","Bergen","Norway","city",160
"INT2025_01_0145","2025-01-04 12:25:00","hotel_11","website_chat","EN","technical_issue","medium","Ã…lesund View Hotel","Ã…lesund","Norway","city",100
"INT2025_01_0108","2025-01-25 15:40:00","hotel_02","instagram","NO","service_request","simple","Oslo City Hotel","Oslo","Norway","city",180
"INT2025_01_0164","2025-01-23 11:20:00","hotel_09","facebook","EN","service_request","complex","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0140","2025-01-28 17:30:00","hotel_07","facebook","EN","service_request","complex","Trondheim Central Hotel","Trondheim","Norway","city",140
"INT2025_01_0124","2025-01-12 11:25:00","hotel_unknown","email","NO","service_request","medium","","","","",""
"INT2025_01_0091","2025-01-08 08:20:00","hotel_06","website_chat","NO","service_request","medium","Arctic Comfort Hotel","BodÃ¸","Norway","city",110
"INT2025_01_0116","2025-01-04 13:40:00","hotel_03","website_chat","EN","service_request","complex","Fjord Spa Hotel","FlÃ¥m","Norway","spa",95
"INT2025_01_0132","2025-01-20 09:30:00","hotel_11","website_chat","NO","service_request","simple","Ã…lesund View Hotel","Ã…lesund","Norway","city",100
"INT2025_01_0178","2025-01-08 15:30:00","hotel_09","facebook","EN","booking","medium","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0174","2025-01-04 11:50:00","hotel_08","website_chat","EN","complaint","simple","Stavanger Seaside Hotel","Stavanger","Norway","resort",130
"INT2025_01_0176","2025-01-06 13:40:00","hotel_04","instagram","EN","spa_reservation","complex","Northern Lights Resort","TromsÃ¸","Norway","resort",120
"INT2025_01_0177","2025-01-07 14:55:00","hotel_07","email","NO","technical_issue","simple","Trondheim Central Hotel","Trondheim","Norway","city",140
"INT2025_01_0172","2025-01-31 09:20:00","hotel_09","email","NO","service_request","medium","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0181","2025-01-11 08:20:00","hotel_03","instagram","EN","service_request","medium","Fjord Spa Hotel","FlÃ¥m","Norway","spa",95
"INT2025_01_0183","2025-01-13 10:50:00","hotel_06","facebook","EN","info","simple","Arctic Comfort Hotel","BodÃ¸","Norway","city",110
"INT2025_01_0184","2025-01-14 11:25:00","hotel_11","website_chat","NO","spa_reservation","medium","Ã…lesund View Hotel","Ã…lesund","Norway","city",100
"INT2025_01_0188","2025-01-18 15:45:00","hotel_12","facebook","EN","service_request","complex","Geilo Alpine Resort","Geilo","Norway","resort",170
"INT2025_01_0186","2025-01-16 13:55:00","hotel_02","email","EN","booking","simple","Oslo City Hotel","Oslo","Norway","city",180
"INT2025_01_0189","2025-01-19 16:20:00","hotel_04","website_chat","NO","service_request","simple","Northern Lights Resort","TromsÃ¸","Norway","resort",120
"INT2025_01_0192","2025-01-22 09:30:00","hotel_07","facebook","NO","spa_reservation","simple","Trondheim Central Hotel","Trondheim","Norway","city",140
"INT2025_01_0194","2025-01-24 11:20:00","hotel_10","website_chat","NO","booking","complex","Kristiansand Beach Hotel","Kristiansand","Norway","resort",150
"INT2025_01_0195","2025-01-25 12:35:00","hotel_03","instagram","EN","check_in","simple","Fjord Spa Hotel","FlÃ¥m","Norway","spa",95
"INT2025_01_0218","2025-01-19 15:45:00","hotel_09","website_chat","NO","booking","complex","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0198","2025-01-28 15:40:00","hotel_11","website_chat","EN","complaint","simple","Ã…lesund View Hotel","Ã…lesund","Norway","city",100
"INT2025_01_0200","2025-01-30 17:30:00","hotel_02","instagram","EN","spa_reservation","complex","Oslo City Hotel","Oslo","Norway","city",180
"INT2025_01_0201","2025-01-31 08:05:00","hotel_08","email","NO","technical_issue","simple","Stavanger Seaside Hotel","Stavanger","Norway","resort",130
"INT2025_01_0202","2025-01-03 09:20:00","hotel_12","facebook","EN","booking","medium","Geilo Alpine Resort","Geilo","Norway","resort",170
"INT2025_01_0232","2025-01-04 09:20:00","hotel_09","website_chat","NO","spa_reservation","medium","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0205","2025-01-06 12:25:00","hotel_05","instagram","EN","service_request","medium","Bergen Harbor Hotel","Bergen","Norway","city",160
"INT2025_01_0206","2025-01-07 13:40:00","hotel_07","email","NO","complaint","complex","Trondheim Central Hotel","Trondheim","Norway","city",140
"INT2025_01_0207","2025-01-08 14:55:00","hotel_10","facebook","EN","info","simple","Kristiansand Beach Hotel","Kristiansand","Norway","resort",150
"INT2025_01_0208","2025-01-09 15:30:00","hotel_03","website_chat","NO","spa_reservation","medium","Fjord Spa Hotel","FlÃ¥m","Norway","spa",95
"INT2025_03_0299","2025-03-28 15:28:00","hotel_09","website_chat","N/A","technical_issue","complex","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0210","2025-01-11 17:00:00","hotel_06","email","EN","booking","simple","Arctic Comfort Hotel","BodÃ¸","Norway","city",110
"INT2025_01_0213","2025-01-14 10:50:00","hotel_02","website_chat","NO","service_request","simple","Oslo City Hotel","Oslo","Norway","city",180
"INT2025_01_0214","2025-01-15 11:25:00","hotel_08","instagram","EN","complaint","medium","Stavanger Seaside Hotel","Stavanger","Norway","resort",130
"INT2025_03_0326","2025-03-10 12:53:00","hotel_09","facebook","N/A","check_in","complex","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0216","2025-01-17 13:55:00","hotel_04","facebook","NO","spa_reservation","simple","Northern Lights Resort","TromsÃ¸","Norway","resort",120
"INT2025_01_0219","2025-01-20 16:20:00","hotel_05","instagram","EN","check_in","simple","Bergen Harbor Hotel","Bergen","Norway","city",160
"INT2025_01_0224","2025-01-25 11:20:00","hotel_11","instagram","EN","spa_reservation","complex","Ã…lesund View Hotel","Ã…lesund","Norway","city",100
"INT2025_01_0225","2025-01-26 12:35:00","hotel_09","email","NO","technical_issue","simple","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0226","2025-01-27 13:50:00","hotel_02","facebook","EN","booking","medium","Oslo City Hotel","Oslo","Norway","city",180
"INT2025_04_0045","2025-04-25 11:49:00","hotel_09","instagram","N/A","technical_issue","simple","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0230","2025-01-31 17:30:00","hotel_04","email","NO","complaint","complex","Northern Lights Resort","TromsÃ¸","Norway","resort",120
"INT2025_01_0231","2025-01-03 08:05:00","hotel_07","facebook","EN","info","simple","Trondheim Central Hotel","Trondheim","Norway","city",140
"INT2025_04_0060","2025-04-02 16:20:00","hotel_09","instagram","N/A","service_request","simple","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0234","2025-01-06 11:50:00","hotel_10","email","EN","booking","simple","Kristiansand Beach Hotel","Kristiansand","Norway","resort",150
"INT2025_01_0237","2025-01-09 14:55:00","hotel_06","website_chat","NO","service_request","simple","Arctic Comfort Hotel","BodÃ¸","Norway","city",110
"INT2025_01_0238","2025-01-10 15:30:00","hotel_11","instagram","EN","complaint","medium","Ã…lesund View Hotel","Ã…lesund","Norway","city",100
"INT2025_04_0087","2025-04-16 14:15:00","hotel_09","email","N/A","spa_reservation","simple","Lillehammer Mountain Lodge","Lillehammer","Norway","resort",85
"INT2025_01_0240","2025-01-12 17:00:00","hotel_02","facebook","NO","spa_reservation","simple","Oslo City Hotel","Oslo","Norway","city",180
"INT2025_01_0242","2025-01-14 09:35:00","hotel_12","website_chat","NO","booking","complex","Geilo Alpine Resort","Geilo","Norway","resort",170
"INT2025_01_0243","2025-01-15 10:50:00","hotel_04","instagram","EN","check_in","simple","Northern Lights Resort","TromsÃ¸","Norway","resort",120
"INT2025_01_0246","2025-01-18 13:55:00","hotel_05","website_chat","EN","complaint","simple","Bergen Harbor Hotel","Bergen","Norway","city",160
"INT2025_01_0248","2025-01-20 15:45:00","hotel_03","instagram","EN","spa_reservation","complex","Fjord Spa Hotel","FlÃ¥m","Norway","spa",95
"INT2025_01_0250","2025-01-22 17:05:00","hotel_06","facebook","EN","booking","medium","Arctic Comfort Hotel","BodÃ¸","Norway","city",110
"INT2025_01_0253","2025-01-25 10:45:00","hotel_02","instagram","EN","service_request","medium","Oslo City Hotel","Oslo","Norway","city",180
"INT2025_01_0254","2025-01-26 11:20:00","hotel_08","email","NO","complaint","complex","Stavanger Seaside Hotel","Stavanger","Norway","resort",130
